0,84, 
10,38,e
110,36,i
1110,33,n
11110,27,t
111110,24,a
1111110,23,o
11111110,16,h
111111110,15,m
1111111110,14,s
11111111110,14,r
111111111110,13,l
1111111111110,12,c
11111111111110,10,g
111111111111110,10,d
1111111111111110,10,p
11111111111111110,9,y
111111111111111110,7,f
1111111111111111110,6,.
11111111111111111110,6,w
111111111111111111110,6,u
1111111111111111111110,4,
11111111111111111111110,4,

111111111111111111111110,4,,
1111111111111111111111110,3,A
11111111111111111111111110,3,k
111111111111111111111111110,3,b
1111111111111111111111111110,3,'
11111111111111111111111111110,3,S
111111111111111111111111111110,2,v
1111111111111111111111111111110,2,C
11111111111111111111111111111110,1,x
111111111111111111111111111111110,1,j
1111111111111111111111111111111110,1,_
11111111111111111111111111111111110,1,N
111111111111111111111111111111111110,1,I
111111111111111111111111111111111111,1,F
